age_mom,ed_pvt,uncorrected_standard_score,subj
33,22,119.5,794
33,22,116.4,294
32,21,108.5,126
35,25,117.2,255
33,22,120.4,465
30,22,114.4,357
32,22,118.6,521
34,21,110.9,274
32,24,112.8,828
31,22,116.1,309
35,20,106.6,749
36,23,123.6,623
37,21,111.4,279
42,21,116.1,626
34,22,112.8,664
35,22,119.2,129
37,24,117.1,860
28,21,120.1,378
29,20,105.5,109
33,22,111.4,342
35,21,110.8,268
34,20,111.5,172
27,21,106,189
31,20,106.5,986
42,24,121.2,861
32,22,108.6,625
35,21,111.6,926
38,22,126.5,944
35,22,121.4,515
32,22,121.4,375
35,22,111.8,738
33,20,107.3,575
34,25,126.7,639
37,22,122.7,168
31,21,113.9,737
35,24,109.9,518
28,25,111,151
34,22,117.8,893
41,22,102.2,424
41,22,102.2,351
23,16,113.2,950
37,25,98,563
27,28,110.9,288
31,21,118.1,220
