SibsYN,Siblings,SibGroup,SiblingNo,age.diff.y,age.diff.d,Group,subj
Y,1,One,1,1;4.18,503,Younger,794
Y,1,One,1,1;10.6,675,Younger,294
Y,2,2+,1,13;3.9,4849,Older,126
Y,2,2+,2,2;1.7,768,Younger,126
Y,4,2+,1,12;9.26,4682,Older,255
Y,4,2+,2,10;0.7,3659,Older,255
Y,4,2+,3,9;0.21,3316,Older,255
Y,4,2+,4,6;7.21,2425,Older,255
N,0,None,NA,NA,NA,NA,465
N,0,None,NA,NA,NA,NA,357
N,0,None,NA,NA,NA,NA,521
N,0,None,NA,NA,NA,NA,274
Y,1,One,1,1;10.19,688,Younger,828
N,0,None,NA,NA,NA,NA,309
N,0,None,NA,NA,NA,NA,749
Y,2,2+,1,4;0,1461,Older,623
Y,2,2+,2,2;0,730,Younger,623
Y,1,One,1,5;1.15,1871,Older,279
Y,2,2+,1,4;5.2,1616,Older,626
Y,2,2+,2,1;9.15,654,Younger,626
N,0,None,NA,NA,NA,NA,664
Y,1,One,1,2;5.1,884,Younger,129
Y,1,One,1,2;0.26,756,Younger,860
N,0,None,NA,NA,NA,NA,378
N,0,None,NA,NA,NA,NA,109
N,0,None,NA,NA,NA,NA,342
N,0,None,NA,NA,NA,NA,268
Y,4,2+,1,10;0,3652,Older,172
Y,4,2+,2,8;0,2922,Older,172
Y,4,2+,3,5;0,1826,Older,172
Y,4,2+,4,3;0,1096,Older,172
N,0,None,NA,NA,NA,NA,189
Y,1,One,1,2;7.2,946,Younger,986
N,0,None,NA,NA,NA,NA,861
N,0,None,NA,NA,NA,NA,625
N,0,None,NA,NA,NA,NA,926
N,0,None,NA,NA,NA,NA,944
Y,1,One,1,4;0.16,1477,Older,515
Y,2,2+,1,16;11.14,6193,Older,375
Y,2,2+,2,14;5.4,5270,Older,375
N,0,None,NA,NA,NA,NA,738
N,0,None,NA,NA,NA,NA,575
N,0,None,NA,NA,NA,NA,639
Y,3,2+,1,5;11.7,2168,Older,168
Y,3,2+,2,4;5.3,1617,Older,168
Y,3,2+,3,2;6.17,931,Younger,168
Y,1,One,1,3;1.15,1142,Older,737
Y,1,One,1,3;6.3,1282,Older,518
Y,2,2+,1,6;1.4,2225,Older,151
Y,2,2+,2,4;1.28,1520,Older,151
Y,2,2+,1,4;5.8,1622,Older,893
Y,2,2+,2,1;11.7,706,Younger,893
Y,1,One,1,0;0,0,Younger,424
Y,1,One,1,0;0,0,Younger,351
N,0,None,NA,NA,NA,NA,950
Y,3,2+,1,6;5.9,2353,Older,563
Y,3,2+,2,4;11.7,1802,Older,563
Y,3,2+,3,2;1.6,767,Younger,563
Y,1,One,1,2;0.17,747,Younger,288
N,0,None,NA,NA,NA,NA,220
